address	size	kind	unit	name
0x100016e64	16	objc	ADWeapon	-[ADWeapon timeBeforeExplode]
0x100016e74	16	objc	ADWeapon	-[ADWeapon setTimeBeforeExplode:]
0x100016e84	16	objc	ADWeapon	-[ADWeapon timeInState]
0x100016e94	16	objc	ADWeapon	-[ADWeapon setTimeInState:]
0x100016ea4	16	objc	ADWeapon	-[ADWeapon fireRate]
0x100016eb4	16	objc	ADWeapon	-[ADWeapon setFireRate:]
0x100016ec4	16	objc	ADWeapon	-[ADWeapon projectileSpeed]
0x100016ed4	16	objc	ADWeapon	-[ADWeapon setProjectileSpeed:]
0x100016ee4	16	objc	ADWeapon	-[ADWeapon numShotsFired]
0x100016ef4	16	objc	ADWeapon	-[ADWeapon setNumShotsFired:]
0x100016f04	164	objc	ADWeapon	-[ADWeapon .cxx_destruct]
