path	duration_s	channels	sample_rate	in_playlists
sounds/challenges/urban_10_brick_1/bastard_urban_10_1.m4a	10.635	2	44100	urban_10_brick_1
sounds/challenges/urban_10_brick_1/bastard_zombie_hulk_a.m4a	17.694	2	44100	urban_10_brick_1
sounds/challenges/urban_10_brick_2/bastard_urban_10_2.m4a	9.404	2	44100	urban_10_brick_2
sounds/challenges/urban_10_brick_4/bastard_city_end.m4a	27.098	2	44100	urban_10_brick_4
sounds/challenges/urban_1_brick_1/bastard_city_intro.m4a	33.808	2	44100	urban_1_brick_1
sounds/challenges/urban_1_brick_2/bastard_urban_1_1.m4a	18.135	2	44100	urban_1_brick_2
sounds/challenges/urban_2_brick_1/bastard_passerby_cars_a.m4a	19.133	2	44100	urban_2_brick_1
sounds/challenges/urban_2_brick_3/bastard_urban_2_1.m4a	10.658	2	44100	urban_2_brick_3
sounds/challenges/urban_3_brick_1/bastard_zombie_clown_a.m4a	32.647	2	44100	urban_3_brick_1
sounds/challenges/urban_3_brick_2/bastard_zombie_clown_b.m4a	4.644	2	44100	urban_3_brick_2
sounds/challenges/urban_3_brick_3/bastard_zombie_clown_c.m4a	3.901	2	44100	urban_3_brick_3
sounds/challenges/urban_3_brick_4/bastard_urban_3_1.m4a	9.404	2	44100	urban_3_brick_4
sounds/challenges/urban_4_brick_1/bastard_urban_4_1.m4a	16.068	2	44100	urban_4_brick_1
sounds/challenges/urban_4_brick_2/bastard_urban_4_2.m4a	10.635	2	44100	urban_4_brick_2
sounds/challenges/urban_5_brick_1/bastard_zombie_runner_a.m4a	14.048	2	44100	urban_5_brick_1
sounds/challenges/urban_5_brick_2/bastard_urban_5_2.m4a	27.632	2	44100	urban_5_brick_2
sounds/challenges/urban_6_brick_1/bastard_urban_6_1.m4a	15.557	2	44100	urban_6_brick_1
sounds/challenges/urban_6_brick_2/bastard_urban_6_2.m4a	10.890	2	44100	urban_6_brick_2
sounds/challenges/urban_7_brick_1/bastard_passerby_jukebox_a.m4a	12.817	2	44100	urban_7_brick_1
sounds/challenges/urban_7_brick_4/bastard_urban_7_2.m4a	14.652	2	44100	urban_7_brick_4
sounds/challenges/urban_8_brick_1/bastard_zombie_horde_b.m4a	8.777	2	44100	urban_8_brick_1
sounds/challenges/urban_8_brick_3/bastard_urban_8_1.m4a	14.884	2	44100	urban_8_brick_3
sounds/challenges/urban_8_brick_5/bastard_urban_8_2.m4a	22.802	2	44100	urban_8_brick_5
sounds/challenges/urban_9_brick_1/bastard_urban_9_1.m4a	15.650	2	44100	urban_9_brick_1
